task_id,task_name,task_group,anatomical_target,required_series,optional_series,dataset,current_model,current_status,localization_required,automatic_localization_validated,measurement_related,primary_metric,metric_value,known_limitation,post_e50_priority,recommended_next_step
sagittal_segmentation,sagittal segmentation,segmentation,vertebra/canal/disc (sagittal),sagittal,,SPIDER,sagittal_spider,stable_baseline,False,not_applicable,False,test_dice_macro_no_background,0.8934316063846954,No clinical validation; single-dataset domain (SPIDER).,P1,Extend held-out/external validation beyond the current single-dataset domain.
axial_segmentation,axial segmentation,segmentation,raw_0..raw_200 axial structures,axial_t2,,Al-Kafri_axial_lumbar,axial_t2_alkafri,experimental,False,not_applicable,False,test_dice_macro_foreground,0.679348283374592,Quality gate FAILED (dice_macro_foreground below 0.70 threshold); raw_0 class poorly separated.,P2,Prioritize based on dataset/label availability once localization/pairing infra (P0) is resolved.
pfirrmann_grade,pfirrmann grade,disc_degenerative_findings,intervertebral disc (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,experimental,True,False,False,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P2,Prioritize based on dataset/label availability once localization/pairing infra (P0) is resolved.
modic_change,modic change,disc_degenerative_findings,vertebral endplate (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,not_product_supported,True,False,False,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P3,Requires a model implementation or additional dataset evidence before scheduling.
upper_endplate_change,upper endplate change,disc_degenerative_findings,upper endplate (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,supported_internal,True,False,False,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P0,Validate AUTOMATIC_DISC_LOCALIZATION_VALIDATED end-to-end (Notebook 66: multiseries geometry & pairing) before enabling productive inference.
lower_endplate_change,lower endplate change,disc_degenerative_findings,lower endplate (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,supported_internal,True,False,False,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P0,Validate AUTOMATIC_DISC_LOCALIZATION_VALIDATED end-to-end (Notebook 66: multiseries geometry & pairing) before enabling productive inference.
spondylolisthesis,spondylolisthesis,disc_degenerative_findings,vertebral alignment (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,not_product_supported,True,False,True,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P3,Requires a model implementation or additional dataset evidence before scheduling.
disc_herniation,disc herniation,disc_degenerative_findings,intervertebral disc (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,not_product_supported,True,False,False,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P3,Requires a model implementation or additional dataset evidence before scheduling.
disc_narrowing,disc narrowing,disc_degenerative_findings,intervertebral disc height (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,supported_internal,True,False,True,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P0,Validate AUTOMATIC_DISC_LOCALIZATION_VALIDATED end-to-end (Notebook 66: multiseries geometry & pairing) before enabling productive inference.
disc_bulging,disc bulging,disc_degenerative_findings,intervertebral disc (per level),"sagittal_t1, sagittal_t2",,SPIDER,spider_degenerative_multitask_sagittal_t1_t2_2p5d,supported_internal,True,False,False,,,AUTOMATIC_DISC_LOCALIZATION_VALIDATED=False blocks productive inputId inference (422 gate).,P0,Validate AUTOMATIC_DISC_LOCALIZATION_VALIDATED end-to-end (Notebook 66: multiseries geometry & pairing) before enabling productive inference.
central_canal_stenosis,central canal stenosis,degenerative_findings,spinal canal (per level),sagittal_t2,"sagittal_t1, axial_t2",RSNA_LumbarDISC,,missing_model,True,False,False,,,No model implementation located under ai_service/pfi_ai_service for this task.,P3,Requires a model implementation or additional dataset evidence before scheduling.
neural_foraminal_narrowing,neural foraminal narrowing,degenerative_findings,"neural foramen (per level, per side)",sagittal_t2,"sagittal_t1, axial_t2",RSNA_LumbarDISC,,missing_model,True,False,False,,,No model implementation located under ai_service/pfi_ai_service for this task.,P3,Requires a model implementation or additional dataset evidence before scheduling.
subarticular_stenosis,subarticular stenosis,degenerative_findings,"subarticular zone (per level, per side)",axial_t2,"sagittal_t1, sagittal_t2",RSNA_LumbarDISC,rsna_subarticular_axial_t2_2p5d,experimental,True,False,False,macro_f1_final_internal_test,0.6284558720836352,Moderate-class recall is low (0.446); checkpoint not present locally.,P2,Prioritize based on dataset/label availability once localization/pairing infra (P0) is resolved.
