slice_index,dicom_position_scalar_mm,regular_grid_position_scalar_mm,absolute_residual_mm
0,-22.710491501510376,-22.710491501510376,0.0
1,-17.21047714551004,-17.21047714551004,0.0
2,-11.710482765471639,-11.710462789509704,1.997596193525908e-05
3,-6.210488385433242,-6.210448433509367,3.995192387584723e-05
4,-0.7104940053948425,-0.7104340775090314,5.992788581110631e-05
5,4.78950536863404,4.789580278491304,7.490985726388288e-05
6,10.289449815443119,10.289594634491642,0.00014481904852381433
7,15.789494128710839,15.789608990491978,0.00011486178113884193
8,21.289538441978557,21.289623346492313,8.49045137556459e-05
9,26.789482888787628,26.789637702492648,0.00015481370502001823
10,32.289522209399976,32.28965205849298,0.00012984909300683967
11,37.78946665620905,37.78966641449332,0.0001997582842676593
