component_id,slice_source,area_px,centroid_row_col,centroid_patient_xyz,bbox,major_axis,minor_axis,orientation_aspect_ratio,border_touch,quality_flags,accepted
comp_0001,5,76,"[5.934210526315789, 119.57894736842105]","[-5.0889792748684215, 41.26356975750001, 177.15823333771053]","[4, 9, 109, 131]",22,5,4.4,False,,True
comp_0002,5,120,"[33.28333333333333, 115.41666666666667]","[-4.908563560699999, 36.349041534, 145.1167809044]","[30, 37, 102, 129]",27,7,3.857142857142857,False,,True
comp_0003,5,120,"[61.575, 111.54166666666667]","[-4.696724091949999, 31.76923700400001, 111.97072270039999]","[58, 65, 97, 127]",30,7,4.285714285714286,False,,True
comp_0004,5,160,"[90.73125, 107.35]","[-4.4900122979375, 26.817458601187496, 77.81189296538751]","[87, 95, 92, 123]",31,8,3.875,False,,True
comp_0005,5,189,"[120.85714285714286, 100.64021164021165]","[-4.4156279199999995, 18.917099710000002, 42.51897399800001]","[117, 125, 85, 117]",32,8,4.0,False,,True
comp_0006,5,207,"[152.57004830917873, 96.69565217391305]","[-4.154819879130434, 14.250475124347824, 5.364325237739138]","[148, 158, 83, 113]",30,10,3.0,False,,True
comp_0007,5,209,"[184.19617224880383, 100.85645933014354]","[-3.421033646287082, 19.069984093492817, -31.695195627770318]","[176, 195, 89, 116]",27,19,1.4210526315789473,False,,True
comp_0008,4,76,"[6.105263157894737, 120.23684210526316]","[0.44483233673684164, 41.758756565526326, 177.03027996805264]","[4, 9, 109, 133]",24,5,4.8,False,,True
comp_0009,4,114,"[33.14912280701754, 115.6842105263158]","[0.5976723693157879, 36.38786985552632, 145.34681832457898]","[30, 37, 103, 130]",27,7,3.857142857142857,False,,True
comp_0010,4,122,"[61.69672131147541, 112.25409836065573]","[0.8395142263770486, 32.32832837409837, 111.90052647363936]","[59, 65, 97, 128]",31,6,5.166666666666667,False,,True
comp_0011,4,165,"[90.72727272727273, 107.25454545454545]","[0.9970000721454542, 26.43125107363637, 77.88963029312727]","[87, 95, 91, 123]",32,8,4.0,False,,True
comp_0012,4,191,"[120.9738219895288, 100.79057591623037]","[1.087640217675392, 18.818391744345554, 42.45514012005239]","[117, 126, 86, 117]",31,9,3.4444444444444446,False,,True
comp_0013,4,192,"[152.703125, 96.65625]","[1.3375973942812491, 13.929650853281252, 5.281431864281302]","[149, 158, 83, 113]",30,9,3.3333333333333335,False,,True
comp_0014,4,193,"[184.21761658031087, 101.16062176165804]","[2.0897582951502582, 19.151422185388597, -31.647567761968872]","[176, 194, 90, 115]",25,18,1.3888888888888888,False,,True
comp_0015,6,63,"[6.333333333333333, 121.14285714285714]","[-10.48387219, 43.36783710999998, 176.61631883799998]","[4, 9, 111, 132]",21,5,4.2,False,,True
comp_0016,6,103,"[33.15533980582524, 116.09708737864078]","[-10.36332982285437, 37.42016435485435, 145.1932000727573]","[30, 37, 104, 129]",25,7,3.5714285714285716,False,,True
comp_0017,6,112,"[61.75, 112.25]","[-10.145159633499999, 32.872547635000004, 111.69210343899998]","[59, 65, 98, 128]",30,6,5.0,False,,True
comp_0018,6,150,"[90.61333333333333, 107.08]","[-10.000240666719998, 26.776254619600007, 77.877273586]","[87, 95, 93, 122]",29,8,3.625,False,,True
comp_0019,6,174,"[120.79885057471265, 99.58045977011494]","[-9.971147973275862, 17.951526954482762, 42.5151316008276]","[118, 125, 85, 116]",31,7,4.428571428571429,False,,True
comp_0020,6,178,"[152.56741573033707, 96.06741573033707]","[-9.684224894955056, 13.789832033651669, 5.294917771539332]","[149, 158, 83, 112]",29,9,3.2222222222222223,False,,True
comp_0021,6,185,"[184.04864864864865, 100.84864864864865]","[-8.916377770648646, 19.335676349621618, -31.595336715978362]","[177, 193, 89, 115]",26,16,1.625,False,,True
comp_0022,3,66,"[6.7727272727272725, 122.6969696969697]","[6.091795884454545, 44.36227472409089, 176.3192267939091]","[5, 10, 113, 133]",20,5,4.0,False,,True
comp_0023,3,98,"[33.55102040816327, 117.6734693877551]","[6.212963769142857, 38.44073384857145, 144.94730870114287]","[31, 37, 106, 131]",25,6,4.166666666666667,False,,True
comp_0024,3,108,"[61.7962962962963, 113.06481481481481]","[6.381150806, 33.00238089750001, 111.85619950950003]","[59, 65, 98, 128]",30,6,5.0,False,,True
comp_0025,3,147,"[91.05442176870748, 108.65306122448979]","[6.576562547714285, 27.792865849999977, 77.5781807894286]","[88, 95, 93, 125]",32,7,4.571428571428571,False,,True
comp_0026,3,168,"[121.20238095238095, 100.88095238095238]","[6.5891223505, 18.649200942500002, 42.260265758500026]","[118, 126, 86, 117]",31,8,3.875,False,,True
