vertebra_component_id,slice_source,area_px,centroid_row_col
vert_00,5,97,"[1.7422680412371134, 122.97938144329896]"
vert_01,5,127,"[6.2362204724409445, 152.5275590551181]"
vert_02,5,538,"[19.659851301115243, 118.53159851301115]"
vert_03,5,227,"[31.378854625550662, 156.72246696035242]"
vert_04,5,600,"[47.89, 114.69166666666666]"
vert_05,5,306,"[57.627450980392155, 155.76797385620915]"
vert_06,5,653,"[75.82235834609494, 109.71056661562021]"
vert_07,5,336,"[87.36011904761905, 151.60416666666666]"
vert_08,5,662,"[105.57552870090635, 103.6737160120846]"
vert_09,5,375,"[118.84533333333333, 146.856]"
vert_10,5,661,"[136.4856278366112, 98.26475037821483]"
vert_11,5,383,"[142.89295039164492, 141.42819843342036]"
vert_12,5,209,"[165.4306220095694, 137.8468899521531]"
vert_13,5,623,"[168.66131621187802, 97.53130016051364]"
